!!!SBtab SBtabVersion='1.0' Document='model' Date='2020-3-5'							
!!SBtab TableID='Reaction' TableType='Reaction' TableName='Reaction' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5'							
!ID	!Name	!ReactionFormula	!Identifiers:kegg.reaction				
R_3_deoxy_7__R01826	R_3_deoxy_7__R01826	C_d_erythrose_4_phosphate + C_phosphoenolpyruvate + C_h2o <=> C_2_dehydro_3_deoxy_d_arabino_heptonate_7_phosphate + C_orthophosphate	R01826				
concentration	C_5_o_1_carboxyvinyl_3_phosphoshikimate	C01269	1.00E-06	0.01			
concentration	C_prephenate	C00254	1.00E-06	0.01			
concentration	C_nad	C00003	0.001	0.001			
concentration	C_nadh	C00004	0.0001	0.0001			
concentration	C_orthophosphate	C00009	0.01	0.01			
concentration	C_chorismate	C00251	1.00E-06	0.01			
concentration	C_3_4_hydroxyphenylpyruvate	C01179	1.00E-06	0.01			
concentration	C_34_dihydroxy_l_phenylalanine	C00355	1.00E-06	0.01			
concentration	C_phosphoenolpyruvate	C00074	1.00E-06	0.01			
concentration	C_co2	C00011	1.00E-05	1.00E-05			
concentration	C_adp	C00008	0.0005	0.0005			
							
!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' DocumentName=' Document=' Unit=' SBtabVersion='1.0' Date='2020-3-5' pH='7.00' IonicStrength='0.10' IonicStrengthUnit='M'							
!QuantityType	!Reaction	!Compound	!Value	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!ID
equilibrium constant	R_3_deoxy_7__R01826		1.41206E+12	dimensionless	R01826		kEQ_R_3_deoxy_7__R01826
equilibrium constant	R_3_dehydroq_R03083		8.45E+22	dimensionless	R03083		kEQ_R_3_dehydroq_R03083
equilibrium constant	R_3_dehydroq_R03084		8.457751091	dimensionless	R03084		kEQ_R_3_dehydroq_R03084
equilibrium constant	R_quinateshi_R06847		7.43478E+13	dimensionless	R06847		kEQ_R_quinateshi_R06847
equilibrium constant	R_shikimate__R02412		8.299334566	dimensionless	R02412		kEQ_R_shikimate__R02412
equilibrium constant	R_3_phosphos_R03460		172.325559	dimensionless	R03460		kEQ_R_3_phosphos_R03460
equilibrium constant	R_chorismate_R01714		315814553.9	dimensionless	R01714		kEQ_R_chorismate_R01714
equilibrium constant	R_chorismate_R01715		4933.410817	dimensionless	R01715		kEQ_R_chorismate_R01715
equilibrium constant	R_hydroxyphe_R01728		271.4733199	dimensionless	R01728		kEQ_R_hydroxyphe_R01728
equilibrium constant	R_tyrosine_t_R00734		1.00326868	dimensionless	R00734		kEQ_R_tyrosine_t_R00734
equilibrium constant	R_RXN_Q00093		6.62E+85	dimensionless			kEQ_R_RXN_Q00093
